title,original_title,budget,Genre,language,spoken_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
Bread,Nan,10000,"Drama, Crime",ku,"Dutch, Kurdish",,Sahim Omar Kalifa's graduating Film. A Kurdish family is trying everything to obtain residence papers and stay in Belgium.,2.712,30,0,2008-09-08,5.3,3,"Belgium, Iraq",,,,,,,,,,,,,,,
The Big Sick,The Big Sick,5000000,"Comedy, Drama, Romance",en,"English, Urdu",http://thebigsickmovie.com,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",31.477,120,56303596,2017-03-30,7.346,2368,United States of America,https://www.nytimes.com/2017/06/22/movies/the-big-sick-review-kumail-nanjiani.html,"Kumail Nanjiani stars opposite Zoe Kazan in this very funny, moving true story about how he found and almost lost love. Holly Hunter and Ray Romano also star.",The New York Times,"subject:Movies;creative_works:The Big Sick (Movie);persons:Nanjiani, Kumail;persons:Gordon, Emily V;persons:Kazan, Zoe;persons:Showalter, Michael;",2017-06-22T09:00:31+0000,1073.0,"Review: In ‘The Big Sick,’ Comedy Is Hard, Love Harder",,,Love and (Almost) Death,,,,By Manohla Dargis,
Lost in Paris,Paris pieds nus,0,Comedy,fr,French,,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",13.748,83,0,2017-01-14,6.022,114,"Belgium, France",https://www.nytimes.com/2017/06/15/movies/lost-in-paris-review.html,"The filmmakers Fiona Gordon and Dominique Abel star in their fourth movie, a tale infused with physical comedy about a woman in search of her aunt.",The New York Times,"creative_works:Lost in Paris (Movie);subject:Movies;persons:Abel, Dominique;persons:Gordon, Fiona;persons:Riva, Emmanuelle;",2017-06-15T19:37:09+0000,254.0,Review: Finding Love (and Slapstick) While ‘Lost in Paris’,,,Lost in Paris,,,,By Ben Kenigsberg,
Vincent N Roxxy,Vincent N Roxxy,5000000,"Drama, Crime, Thriller",en,English,,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,13.507,110,0,2016-04-18,5.4,88,United States of America,https://www.nytimes.com/2017/06/01/movies/vincent-n-roxxy-review.html,"This combination crime drama and romance finds Emile Hirsch and Zoë Kravitz circling each other, and trying to stay away from bad guys.",The New York Times,"subject:Movies;creative_works:Vincent N Roxxy (Movie);persons:Kravitz, Zoe;persons:Schultz, Gary Michael;persons:Hirsch, Emile;",2017-06-01T19:52:51+0000,287.0,"Review: In ‘Vincent N Roxxy,’ Love Is in the Air, N So Is Fear",,,Vincent N Roxxy,,,,By Ken Jaworowski,
Hounds of Love,Hounds of Love,0,"Crime, Drama, Horror",en,English,http://www.houndsoflovemovie.com/,"When Vicki Maloney is randomly abducted from a suburban street by a disturbed couple, she soon observes the dynamic between her captors and quickly realises she must drive a wedge between them if she is to survive.",13.037,108,0,2016-10-07,6.1,330,Australia,https://www.nytimes.com/2017/05/11/movies/hounds-of-love-review.html,This feature debut of the Australian filmmaker Ben Young resembles a real-life couple’s killing spree in the 1980s.,The New York Times,"subject:Movies;creative_works:Hounds of Love (Movie);persons:Young, Ben (Film Director);",2017-05-11T20:16:51+0000,280.0,Review: ‘Hounds of Love’ Is Tense and Deadly Down Under,,,Hounds of Love,,,,By Ben Kenigsberg,
Harold and Lillian: A Hollywood Love Story,Harold and Lillian: A Hollywood Love Story,0,Documentary,en,English,http://haroldandlillian.com,"Working largely uncredited in the Hollywood system, storyboard artist Harold and film researcher Lillian left an indelible mark on classics by Alfred Hitchcock, Steven Spielberg, Mel Brooks, Stanley Kubrick, Roman Polanski and many more.",8.795,96,0,2017-02-01,6.8,19,United States of America,,,,,,,,,,,,,,,
The Happiest Day in the Life of Olli Mäki,Hymyilevä mies,1330000,"Drama, Romance",fi,"English, Finnish",,"Summer 1962 and Olli Mäki has a shot at the world championship title in featherweight boxing. From the Finnish countryside to the bright lights of Helsinki, everything has been prepared for his fame and fortune. All Olli has to do is lose weight and concentrate. But there is a problem – he has fallen in love with Raija.",22.222,95,0,2016-09-02,6.7,83,"Finland, Germany, Sweden",,,,,,,,,,,,,,,
The Promise,The Promise,90000000,"History, Romance, Drama",en,"Armenian, German, English, French",http://www.survivalpictures.org/the-promise/,"Set during the last days of the Ottoman Empire, a love triangle develops between Mikael, a brilliant medical student, the beautiful and sophisticated artist Ana, and Chris, a renowned American journalist based in Paris.",26.138,133,12448676,2016-12-02,6.93,457,"Spain, United States of America",https://www.nytimes.com/2017/04/20/movies/the-promise-review-oscar-isaac.html,"Oscar Isaac, Christian Bale and Charlotte Le Bon star in this wartime romance with a heavy subject (genocide) but a corny plot.",The New York Times,"subject:Movies;creative_works:The Promise (Movie);persons:George, Terry;persons:Bale, Christian;persons:Isaac, Oscar;persons:Le Bon, Charlotte;",2017-04-20T16:49:46+0000,455.0,Review: ‘The Promise’ Finds a Love Triangle in Constantinople,,,"A Love Triangle, Near the Front Lines",,,,By Jeannette Catsoulis,
Frantz,Frantz,0,"History, Drama, Romance",fr,"German, French",,"In the aftermath of WWI, a young German who grieves the death of her fiancé in France meets a mysterious French man who visits the fiance’s grave to lay flowers.",17.969,113,7478354,2016-09-07,7.364,673,"France, Germany",https://www.nytimes.com/2017/03/14/movies/frantz-review.html,"François Ozon’s adaptation of Ernst Lubitsch’s 1932 antiwar film, “Broken Lullaby,” is set in Germany and France in the aftermath of World War I.",The New York Times,"creative_works:Frantz (Movie);persons:Niney, Pierre;subject:Movies;persons:Lubitsch, Ernst;persons:Ozon, Francois;",2017-03-14T21:14:24+0000,708.0,"Review: ‘Frantz,’ a Mysterious Frenchman and the Wounds of War",,,The Wounds of War and Love,,,,By Stephen Holden,
The Other Half,The Other Half,0,"Drama, Romance",en,English,http://theotherhalfmovie.com/,A grief-stricken man and a bipolar woman fall in love and attempt to forge a simple life together.,8.197,103,0,2016-12-02,6.3,24,Canada,https://www.nytimes.com/2017/03/09/movies/the-other-half-review-tatiana-maslany.html,This moody romance stars Tatiana Maslany (“Orphan Black”) as a bipolar painter in love with a brooding cabby (Tom Cullen of “Downton Abbey”).,The New York Times,"subject:Movies;creative_works:The Other Half (Movie);persons:Maslany, Tatiana;persons:Cullen, Tom (1985- );persons:Klein, Joey (Film Director);",2017-03-09T21:54:58+0000,251.0,Review: A Combustible Pair Find Love in ‘The Other Half’,,,Review: A Combustible Pair Find Love in ‘The Other Half’,,,,By Andy Webster,
The Ottoman Lieutenant,The Ottoman Lieutenant,40000000,"Romance, Drama, War",en,"Turkish, English",https://www.uphe.com/movies/the-ottoman-lieutenant,"Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote medical mission in the Ottoman Empire (now Turkey). However, Lillie soon finds herself at odds with Jude and the mission’s founder, Woodruff, when she falls for the titular military man, Ismail, just as the war is about to erupt.",21.397,111,413844,2017-03-10,6.164,247,"Turkey, United States of America",https://www.nytimes.com/2017/03/09/movies/review-the-ottoman-lieutenant.html,A nurse travels to the Ottoman Empire on the eve of World War I. Can romance blossom amid earthshaking events?,The New York Times,"subject:Movies;creative_works:The Ottoman Lieutenant (Movie);persons:Ruben, Joseph;persons:Hartnett, Josh;persons:Stockwell, Jeff (1958- );persons:Hilmar, Hera;persons:Huisman, Michiel;",2017-03-09T21:53:12+0000,267.0,"Review: Love as the World Wars, in ‘The Ottoman Lieutenant’",,,"Review: Love as the World Wars, in ‘The Ottoman Lieutenant’",,,,By Neil Genzlinger,
Kedi,Kedi,0,Documentary,tr,Turkish,http://www.kedifilm.com,"A profile of Istanbul and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",18.388,79,5037923,2017-01-08,7.569,312,United States of America,https://www.nytimes.com/2017/02/09/movies/kedi-review.html,This documentary profiles distinctive street cats in Istanbul and the human communities that interact with them.,The New York Times,"creative_works:Kedi (Movie);subject:Documentary Films and Programs;subject:Cats;glocations:Istanbul (Turkey);persons:Torun, Ceyda;",2017-02-09T16:21:39+0000,274.0,"Review: Cute Cats of ‘Kedi,’ Rekindling a ‘Love of Life’",,,Kedi,,,,By Glenn Kenny,
